nama,rating,gp,point_per_game,rebound_per_game,assist_per_game
Wendell Moore Jr.,0.36,3,2.0,1.3,1.0
Mark Sears,0.35,7,3.1,0.3,0.3
Jamal Cain,0.34,7,1.7,0.6,0.3
Kyle Lowry,0.34,5,1.2,0.6,1.4
Bobi Klintman,0.33,6,2.8,2.7,0.7
Ron Harper Jr.,0.33,4,2.0,0.8,1.0
EJ Harkless,0.33,7,2.4,0.9,0.7
Taelon Peter,0.32,17,1.4,0.9,0.8
Hunter Tyson,0.32,11,1.1,1.3,0.3
Monte Morris,0.31,6,3.0,1.2,1.5
Trey Alexander,0.31,3,4.7,1.3,1.3
Myron Gardner,0.29,6,1.8,0.7,0.3
Marcus Sasser,0.29,4,1.8,0.8,1.8
Anthony Gill,0.29,12,1.4,0.8,0.0
PJ Hall,0.28,7,1.9,1.3,0.3
Mac McClung,0.28,3,6.3,1.3,0.3
Charles Bassey,0.26,2,3.5,7.5,1.0
Brandon Clarke,0.26,2,4.0,3.0,0.5
E.J. Liddell,0.26,7,2.0,1.3,0.0
Christian Koloko,0.25,4,0.5,1.5,0.3
Riley Minix,0.25,3,3.0,0.7,0.3
DeAndre Jordan,0.24,2,4.5,5.0,0.0
Amari Williams,0.24,6,0.5,1.2,0.2
Jacob Toppin,0.24,5,1.6,0.2,0.2
Khaman Maluach,0.23,13,1.5,1.0,0.2
Orlando Robinson,0.22,3,2.3,1.0,0.7
Jahmir Young,0.21,5,2.0,0.4,0.8
Trey Jemison,0.21,4,1.3,2.0,0.3
Johnny Juzang,0.20,8,1.1,0.4,0.1
Harrison Ingram,0.20,3,1.7,1.0,0.0
AJ Lawson,0.19,2,6.0,2.5,0.0
Johni Broome,0.19,7,1.4,1.9,0.6
Drew Timme,0.18,2,1.0,1.0,1.5
Chris Livingston,0.17,3,3.0,1.0,0.3
Garrett Temple,0.17,7,0.6,0.4,0.3
Pacome Dadiet,0.17,11,0.4,0.6,0.4
Koby Brea,0.16,2,2.0,0.5,1.0
Dario Saric,0.16,5,1.0,1.2,0.4
N'Faly Dante,0.15,4,0.8,1.8,0.0
Isaac Jones,0.15,4,1.3,0.5,0.3
James Wiseman,0.14,4,3.3,2.0,0.8
Joe Ingles,0.13,8,0.0,0.0,0.8
Cody Martin,0.13,4,1.8,3.5,0.5
Kam Jones,0.12,2,2.5,0.0,0.0
Kevin McCullar Jr.,0.12,3,1.0,0.3,0.0
Hunter Sallis,0.11,7,1.0,0.1,0.6
DaRon Holmes II,0.10,2,1.5,0.0,0.0
Jahmai Mashack,0.09,6,1.0,0.8,0.3
Trentyn Flowers,0.07,2,2.0,0.5,0.5
Colby Jones,0.06,1,2.0,4.0,2.0
Drew Peterson,0.05,6,0.8,1.5,0.3
Chris Manon,0.04,3,0.0,1.0,0.0
Doug McDermott,0.04,2,3.0,0.0,0.0
Curtis Jones,0.03,3,0.7,0.7,0.0
Vladislav Goldin,0.02,1,0.0,0.0,1.0
Tyson Etienne,0.01,8,1.5,0.0,0.1
Tosan Evbuomwan,0.00,5,0.0,0.4,0.0
Alijah Martin,0.00,2,0.0,0.0,0.0
Javonte Cooke,-0.00,5,1.4,0.6,1.0
Miles Kelly,-0.01,2,1.0,2.0,0.0
Daeqwon Plowden,-0.01,1,2.0,2.0,0.0
Isaiah Crawford,-0.02,2,0.0,0.0,0.0
Lachlan Olbrich,-0.03,5,0.4,2.2,0.6
Hunter Dickinson,-0.03,1,2.0,0.0,0.0
Jahmyl Telfort,-0.04,8,0.1,0.4,0.1
Noa Essengue,-0.05,2,0.0,0.0,0.0
Sharife Cooper,-0.07,4,0.0,0.0,0.0
